"","country","gti_score","ml_predicted_score","gti_rank","ml_rank","rank_difference"
"102","Dominican Republic",0.543120109815288,0.538232346511951,98,102,-4
"103","Lesotho",0.539874595062736,0.53811887865576,103,103,0
"104","Tanzania",0.542640488894527,0.53779583021448,99,104,-5
"105","Ivory Coast",0.53882685695898,0.537689877373711,110,105,5
"106","Qatar",0.540379591550089,0.537565174202141,102,106,-4
"107","South Korea",0.538999831489504,0.537443041693923,108,107,1
"108","United Arab Emirates",0.53938840585593,0.537043913097742,105,108,-3
"109","Costa Rica",0.539053949096518,0.53694697585917,107,109,-2
"110","Vietnam",0.539107401773104,0.536944301249883,106,110,-4
"111","Morocco",0.547997586298339,0.536795734540905,91,111,-20
"112","Rhodesia",0.53798890204051,0.53633791875211,113,112,1
"113","Malta",0.537796437732575,0.536295876669607,114,113,1
"114","Armenia",0.536856515960128,0.535790449936886,118,114,4
"115","Togo",0.538278269009914,0.535741066889873,112,115,-3
"116","New Caledonia",0.539629846346902,0.535693575059011,104,116,-12
"117","Madagascar",0.536634610172062,0.53531354017351,120,117,3
"118","Eritrea",0.534794805580187,0.535287075817574,133,118,15
"119","Finland",0.533330768572101,0.535195847107152,140,119,21
"120","Austria",0.535759706449579,0.535157172213513,125,120,5
"121","Kyrgyzstan",0.536929009458396,0.535140172433183,117,121,-4
"122","Denmark",0.536625158275622,0.534898215423124,121,122,-1
"123","Bulgaria",0.537146043627855,0.534223446113464,115,123,-8
"124","Guadeloupe",0.536677959822596,0.532826723411896,119,124,-5
"125","Macau",0.533927920081066,0.531915923938883,137,125,12
"126","Republic of the Congo",0.536381020796102,0.531805336840669,123,126,-3
"127","Seychelles",0.536476261230451,0.531584523916593,122,127,-5
"128","Belarus",0.53482437037425,0.531263328738412,132,128,4
"129","New Zealand",0.536019749671083,0.531139187321536,124,129,-5
"130","Hungary",0.535221752289458,0.531096308145191,128,130,-2
"131","Jamaica",0.535749965959253,0.530808591126453,126,131,-5
"132","Poland",0.534987707482555,0.530776449616043,130,132,-2
"133","Albania",0.535364975697015,0.530769986848536,127,133,-6
"134","Guinea",0.534910373149731,0.530732328806673,131,134,-3
"135","Moldova",0.533795498808146,0.530537274490864,138,135,3
"136","Laos",0.534682394287543,0.53042140800717,134,136,-2
"137","Uruguay",0.537090818475145,0.530325637975701,116,137,-21
"138","Panama",0.534406080438742,0.53022722154431,136,138,-2
"139","Ghana",0.535099119621631,0.530207202388827,129,139,-10
"140","East Germany (GDR)",0.534446852989975,0.530177441113174,135,140,-5
"141","Czech Republic",0.533758709723853,0.53014660360662,139,141,-2
"142","Maldives",0.530773779187252,0.530075395054619,147,142,5
"143","Trinidad and Tobago",0.533081694255004,0.529958093096436,141,143,-2
"144","Sweden",0.52794048063964,0.526857173807307,149,144,5
"145","Latvia",0.532077021769544,0.524675127121714,145,145,0
"146","Norway",0.530385380653753,0.522596329597464,148,146,2
"147","Barbados",0.532795586373915,0.519857076305157,142,147,-5
"148","People's Republic of the Congo",0.531217161763153,0.519704837984856,146,148,-2
"149","Slovak Republic",0.532193553619028,0.517552045763857,144,149,-5
