"","headline","snippet","date","text_clean","keyword","framing_label"
"18","Terrorism: For Muslim crimes only? | Opinions | Al Jazeera","Jul 2, 2015 ... This provides yet more evidence that the term “terrorism” was exclusively utilised for Muslims and Muslims only. I have already demonstrated how ...","Last update 2 Jul 2015","terrorism muslim crimes opinions al jazeera jul provides yet evidence term “terrorism” exclusively utilised muslims muslims already demonstrated  ","Terrorism","Terrorism"
"19","Egypt adopts controversial anti-terrorism law | Human Rights News ...","Aug 17, 2015 ... The controversial law, published in the government's official gazette on Sunday, sets a minimum fine of 200,000 pounds (about $25,000) and a ...","17 Aug 2015","egypt adopts controversial antiterrorism law human rights news aug controversial law published governments official gazette sunday sets minimum fine pounds  ","Terrorism","Terrorism"
"20","Jordan anti-terrorism law sparks concern | News | Al Jazeera","Apr 25, 2014 ... Critics are warning that changes to Jordan's anti-terrorism law, including a broadened definition of terrorism and strengthened punishments, could be used by ...","25 Apr 2014","jordan antiterrorism law sparks concern news al jazeera apr critics warning changes jordans antiterrorism law including broadened definition terrorism strengthened punishments used  ","Terrorism","Terrorism"
"21","Trump administration labels Cuba as 'state sponsor of terrorism ...","Jan 11, 2021 ... The United States has designated Cuba as a “state sponsor of terrorism”, US Secretary of State Mike Pompeo announced, the latest move in the ...","Last update 12 Jan 2021","trump administration labels cuba state sponsor terrorism jan united states designated cuba “state sponsor terrorism” us secretary state mike pompeo announced latest move  ","Terrorism","Terrorism"
"22","Mangione charged with 'act of terrorism' in UnitedHealthcare CEO ...","Dec 17, 2024 ... Luigi Mangione, the 26-year-old accused of fatally shooting United Healthcare CEO Brian Thompson in New York earlier this month, has been ...","Last update 17 Dec 2024","mangione charged act terrorism unitedhealthcare ceo dec luigi mangione yearold accused fatally shooting united healthcare ceo brian thompson new york earlier month  ","Terrorism","Terrorism"
"23","Pakistan court convicts Mumbai 'mastermind' in terrorism case ...","Feb 12, 2020 ... A Pakistani anti-terrorism court has sentenced Hafiz Muhammad Saeed, the founder of the Lashkar-e-Taiba armed group, to five and a half years' prison.","12 Feb 2020","pakistan court convicts mumbai mastermind terrorism case feb pakistani antiterrorism court sentenced hafiz muhammad saeed founder lashkaretaiba armed group five half years prison","Terrorism","Terrorism"
"24","ICJ rejects most of Ukraine's 'terrorism' case against Russia | Russia ...","Jan 31, 2024 ... The International Court of Justice (ICJ) has rejected much of a case filed by Ukraine that accused Russia of funding separatist rebels in ...","31 Jan 2024","icj rejects ukraines terrorism case russia russia jan international court justice icj rejected much case filed ukraine accused russia funding separatist rebels  ","Terrorism","Terrorism"
"25","Why aren't we calling the Pittsburgh shooting 'terrorism'? | Gun ...","Oct 29, 2018 ... Perhaps the path to end terrorism begins with abandoning it as a term we selectively deploy and actively distort.","29 Oct 2018"," arent calling pittsburgh shooting terrorism gun oct perhaps path end terrorism begins abandoning term selectively deploy actively distort","Terrorism","Terrorism"
"26","Refugees or hijackers? Teenagers charged with terrorism in Malta ...","Dec 16, 2019 ... EIther the ship was hijacked, and the three teenagers accused are guilty, or the crew fraudulently portrayed the situation in order to get ...","Last update 16 Dec 2019","refugees hijackers teenagers charged terrorism malta dec either ship hijacked three teenagers accused guilty crew fraudulently portrayed situation order get ","Terrorism","Terrorism"
"27","Syrian troops make gains as Putin defends air strikes | Vladimir ...","Oct 12, 2015 ... He also called on other countries to “unite efforts against this evil [terrorism]”. ... Above all, it is to not let a terrorist caliphate take ...","12 Oct 2015","syrian troops make gains putin defends air strikes vladimir oct also called countries “unite efforts evil terrorism” let terrorist caliphate take ","Terrorism","Terrorism"
